Names	total	elements
M1 M2	90	MMP2
		ITGA5
		EIF6
		IRAK1
		TOP1MT
		EPB41L4B
		RTN1
		IGF2BP3
		COL4A5
		TFDP2
		FXYD6
		SOX4
		DDX19B
		ATP5MC1
		ITGB4
		HSPD1
		TIPARP
		PCBP4
		RGS4
		TRO
		DSG2
		JAG1
		SERPINA1
		FN1
		ELOVL7
		ZCCHC24
		NMNAT2
		LAMB3
		IL13RA2
		VANGL2
		DDX39A
		STC1
		TTLL7
		COL5A2
		LGALS3BP
		THY1
		HSPA2
		EPHA7
		C1orf115
		PLEKHA7
		MRC2
		AGPAT4
		GABARAPL1
		LAT2
		G0S2
		PLEKHH2
		CHST2
		QPCT
		SLC37A1
		MMP1
		IGFBP5
		COLEC12
		PAM
		EDIL3
		TRMT1
		PLK2
		NFASC
		AASS
		NLRC5
		SLC7A5
		PCDH20
		MYEOV
		MAPKAPK3
		FCHO1
		CREG1
		CLSTN3
		SYTL2
		TMBIM6
		CXCL1
		GLDC
		USP32P3
		SOCS2
		GBP3
		ARHGEF6
		FERMT1
		HLA-B
		PAK4
		ENPP1
		ATP10D
		CPE
		CALD1
		CEMIP2
		IGFBP3
		COL5A1
		MED19
		HLA-C
		IFRD2
		MLPH
		TENT5A
		SCN9A
M1	728	RCN3
		ACTN4
		ST8SIA5
		CD44
		PLCE1
		USP30
		MAP4
		DNASE1
		TMSB15B-AS1
		MYO1B
		HSD17B1
		AHDC1
		ZNF646
		ZNF837
		LCORL
		POLK
		HSPB8
		MSL1
		DNAH14
		TAF4B
		PRKRA
		SENP1
		UTY
		DNAI1
		ZSCAN9
		RFX5
		ZBED3
		METTL23
		ZNF131
		ADCK1
		USP47
		SPTLC1
		SMARCC2
		POLI
		SYNE2
		RO60
		TOP3A
		MSRB3
		MINDY1
		PTK2B
		ZSCAN5A
		UNC5A
		TNS3
		DNAJB1
		MED13L
		SCYL3
		GJA1
		TSC22D1
		ATAD2B
		FBXO8
		CAMK1
		TRPM8
		RAB3GAP1
		AKAP7
		SLC25A26
		DIAPH2
		WDR89
		LAMP1
		CLCC1
		ARHGEF7
		HLA-H
		MPPE1
		LYSMD4
		MAML2
		SPAG16
		INTS6
		RNF32
		DUXAP8
		LARS1
		ATL2
		AP1S2
		MTHFR
		GSS
		RNF208
		DCP1A
		TBC1D12
		RMC1
		YIPF4
		GNAS
		LOC124902769
		ZNF22-AS1
		MKNK1
		GOLGA3
		ZBTB38
		SYNAGE
		CCDC57
		RMP64
		ZNF749
		LINC01778
		CYRIB
		GOLGA6L10
		PPP2R3B
		CHST15
		N4BP2L2
		LSM14A
		HYOU1
		ACBD5
		SEMA3E
		SLC35B2
		MFSD11
		PGAP2
		C8orf44-SGK3
		CRELD2
		MEIS2
		SRSF11
		TJAP1
		PSMB6
		SCP2
		NPEPPSP1
		LOC124900700
		DENND1A
		A4GALT
		HSD17B4
		ZNF41
		SDHAP2
		ADORA2A
		SPTBN1
		LUC7L2
		ARHGAP45
		SERF1A
		TRMT10B
		SNX25
		UPF3A
		TRIP12
		DPYD
		TTLL4
		GATAD2A
		CPSF7
		ABI2
		ARHGAP11B-DT
		NUDT12
		MED27
		ARF1
		LTAP1
		MARCHF6
		IL6R
		SLC35A5
		MIS18BP1
		RAPGEFL1
		INPP5J
		MUTYH
		ARL6IP6
		GPATCH2
		ZNF227
		FAM234A
		GRIK4
		SUN1
		MASTL
		AGTPBP1
		LIPH
		FBXW2
		HDAC9
		AHI1
		DYM
		AHNAK
		SMC6
		PTPRH
		MSI1
		ZNF7
		RBM6
		IQSEC2
		LLGL1
		DYRK2
		NT5C3B
		PARP11
		NOL3
		ASAP3
		RPL10
		SH3D19
		TM7SF2
		TMEM25
		MCM3
		USP13
		INO80E
		ZNF738
		ST8SIA5-DT
		DEF8
		PEAK1
		EIF4E2
		KSR1
		CYP3A5
		MALINC1
		C17orf107
		RPUSD1
		NPRL3
		DTNB
		RAB27B
		VRK2
		ENDOV
		CSRP1
		SLC25A13
		ANKS1B
		CELF5
		TMEM241
		PRKAB2
		QPCTL
		LOC105375690
		AKTIP
		ZGRF1
		ZBTB45
		ANKRD26
		CACNA1H
		MAPRE3
		SYNRG
		ZNF384
		ZNF254
		SOX3
		CERKL
		RHBDD2
		GATAD1
		GOLGA8A
		GDAP1
		CARS2
		HLA-A
		NUP85
		OSBPL3
		PHF19
		SLC39A9
		ZNF518A
		BICD1
		PDPK1
		BOLA2-SMG1P6
		FLJ13224
		LINC01619
		TRIM26
		IL34
		LOC102724250
		ADAM9
		XRRA1
		TMUB2
		SPAG6
		INTS10
		ZDHHC22
		IFNGR2
		AGK
		USP25
		PEX26
		CSNK2B
		SDHD
		PCYOX1
		OSM
		CAP1
